contrast,estimate,SE,df,t.ratio,p.value,p<.05
CON PLX - EtOH PLX,-0.02059294874999873,1.8264247945694088,29,-0.011275005032360858,1,ns
CON PLX - CON VEH,0.22628205125000056,1.8264247945694088,29,0.12389344030086274,1,ns
EtOH PLX - EtOH VEH,-5.853903219000001,1.7749658527811554,29,-3.2980370917151154,0.010319803336461755,*
CON VEH - EtOH VEH,-6.100778219,1.7749658527811554,29,-3.4371242744984776,0.007190429690366343,**
