contrast,estimate,SE,df,t.ratio,p.value,p<.05
CON PLX - EtOH PLX,-0.39127622374999826,0.8073495188563208,29,-0.4846429143901322,1,ns
CON PLX - CON VEH,0.19545454550000096,0.8073495188563208,29,0.24209408804365046,1,ns
EtOH PLX - EtOH VEH,-3.1601210825277795,0.7846027011296176,29,-4.027670409467176,0.0014843460169509828,**
CON VEH - EtOH VEH,-3.7468518517777785,0.7846027011296175,29,-4.775476615595787,1.8933193144851168e-4,***
