Region,Diet,PLX,VEH,percent_loss
Hippo,CON,14.670833333333333,136.27232142857142,89.23417963417964
Hippo,EtOH,13.1875,158.27592592592592,91.66803168400239
Rhinal,CON,17.464583333333334,232.58705357142856,92.49116274308454
Rhinal,EtOH,13.235119047619047,252.5793650793651,94.7600157109191
