id,Region,Iba1_avg,Iba1_sd,slices,Iba1_sem,Subject,Condition,Drug,Diet,Sex,Study,PLX_admin
11-MGD3,Rhinal,0.33333333333333337,0.5163977794943223,6,0.210818510677892,11,PLX-CON,PLX,CON,Male,MGD3,i.p.
12-MGD3,Rhinal,0.875,1.1259916264596033,8,0.3980981573144277,12,PLX-CON,PLX,CON,Male,MGD3,i.p.
13-MGD3,Rhinal,6.5,2.1213203435596424,2,1.4999999999999998,13,PLX-CON,PLX,CON,Male,MGD3,i.p.
14-MGD3,Rhinal,3.4,1.6733200530681511,5,0.7483314773547882,14,PLX-CON,PLX,CON,Male,MGD3,i.p.
15-MGD3,Rhinal,20.9,10.461038826681284,10,3.3080709383768254,15,PLX-CON,PLX,CON,Male,MGD3,i.p.
16-MGD3,Rhinal,86.33333333333333,6.623191577077223,6,2.7039066387564334,16,PLX-CON,PLX,CON,Male,MGD3,i.p.
17-MGD3,Rhinal,0.375,0.7440238091428449,8,0.2630521404045756,17,PLX-CON,PLX,CON,Male,MGD3,i.p.
18-MGD3,Rhinal,21,9.38083151964686,5,4.1952353926806065,18,PLX-CON,PLX,CON,Male,MGD3,i.p.
05-MGD3,Rhinal,223,37.32738047778511,7,14.108423691100965,05,VEH-EtOH,VEH,EtOH,Male,MGD3,i.p.
06-MGD3,Rhinal,263.8,7.293833011524187,5,3.261901286060018,06,VEH-EtOH,VEH,EtOH,Male,MGD3,i.p.
07-MGD1,Rhinal,290.8,24.014578905323326,5,10.739646176667089,07,VEH-EtOH,VEH,EtOH,Male,MGD1,i.p.
07-MGD3,Rhinal,242.71428571428572,27.323459308283578,7,10.327296898244466,07,VEH-EtOH,VEH,EtOH,Male,MGD3,i.p.
08-MGD3,Rhinal,174,26.105554964413226,5,11.674759098157015,08,VEH-EtOH,VEH,EtOH,Male,MGD3,i.p.
09-MGD1,Rhinal,325,19.270011243726177,4,9.635005621863089,09,VEH-EtOH,VEH,EtOH,Male,MGD1,i.p.
10-MGD1,Rhinal,252.83333333333334,47.520171155696254,6,19.400028636863173,10,VEH-EtOH,VEH,EtOH,Male,MGD1,i.p.
17-MGD2,Rhinal,252.66666666666666,36.11463230695651,6,14.743736900045993,17,VEH-EtOH,VEH,EtOH,Male,MGD2,i.p.
20-MGD2,Rhinal,248.4,28.701916312330084,5,12.83588719177603,20,VEH-EtOH,VEH,EtOH,Male,MGD2,i.p.
01-MGD1,Rhinal,8,3.286335345030997,6,1.341640786499874,01,PLX-EtOH,PLX,EtOH,Male,MGD1,i.p.
03-MGD1,Rhinal,8.166666666666666,3.65604522218567,6,1.4925742118158742,03,PLX-EtOH,PLX,EtOH,Male,MGD1,i.p.
04-MGD1,Rhinal,12,4.566962103755937,8,1.614664936493902,04,PLX-EtOH,PLX,EtOH,Male,MGD1,i.p.
06-MGD1,Rhinal,34.75,9.837973078114937,8,3.4782487383328817,06,PLX-EtOH,PLX,EtOH,Male,MGD1,i.p.
19-MGD3,Rhinal,7.571428571428571,4.117326918327103,7,1.5562032988922088,19,PLX-EtOH,PLX,EtOH,Male,MGD3,i.p.
20-MGD3,Rhinal,32,5.059644256269407,6,2.0655911179772892,20,PLX-EtOH,PLX,EtOH,Male,MGD3,i.p.
22-MGD3,Rhinal,0.25,0.5,4,0.25,22,PLX-EtOH,PLX,EtOH,Male,MGD3,i.p.
24-MGD3,Rhinal,3.142857142857143,2.2677868380553634,7,0.8571428571428571,24,PLX-EtOH,PLX,EtOH,Male,MGD3,i.p.
