.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif
day_11,PLX-CON,PLX-EtOH,8,8,1.2170168508638546,13.928695185676212,0.244,0.486,ns
day_11,PLX-CON,VEH-CON,8,8,2.7535022893381487,12.850173920286228,0.017,0.083,ns
day_11,PLX-CON,VEH-EtOH,8,9,4.26813946502615,8.647946362967437,0.002,0.014,*
day_11,PLX-EtOH,VEH-CON,8,8,1.4790706189687077,13.281675730245885,0.162,0.486,ns
day_11,PLX-EtOH,VEH-EtOH,8,9,2.8728435938057855,8.89647434237767,0.019,0.083,ns
day_11,VEH-CON,VEH-EtOH,8,9,1.3526738111581942,9.985818118425048,0.206,0.486,ns
